Song name,Artist,Genre
Jay Adhyashakti Aarti,Kinjal Dave,Party
Vishwambhari(Stuti),Hemant Chauhan,Party
Dakla 2 - Extended Version,"Bandish Projekt, Aishwarya Joshi, Maulik Nayak",Party
Dakla 4,"Bandish Projekt, Aishwarya Joshi",Party
Radha NE Shyam Mali Jashe,Sachin-Jigar,Party
Mogal Taro Aashro,"Jigardan Gadhavi, Kirtidan Gadhavi",Party
Chogada,"Darshan Raval, Asees Kaur",Party
Akh Lad Jaave,"Badshah, Asees Kaur, Jubin Nautiyal",Party
Dholida,"Udit Narayan, Neha Kakkar. Palak Muchhal, Raja Hasan",Party
Shekhar Ravjiani's Hanuman Chalisa,Shekhar Ravjiani,Party
"Odhani (From ""Made in China"")","Sachin-Jigar, Darshan Raval, Neha Kakkar",Party
Nagada Sang Dhol,"Shreya Ghoshal, Osman Mir",Party
Moti Veraana (From Songs of Faith),"Amit Trivedi, Osman Mir",Party
Kaho Poonam Na,"Dhaval Kothari, Simran Choudhary",Party
Gori Radha Ne Kado Kaan,Kirtidan Gadhvi,Party
Mor Bani Thanghat Kare,Osman Mir. Aditi Paul,Party
Nayan Ne Bandh Rakhine 2.0,Poorvesh Dave,Party
Bholenath - A Love Story,Kaka WRLD,Party
Sanedo,"Tanishk Bagchi, Vayu, Darshan Raval, Raja Hasan",Party
Rangtaari,"Dev Negi, Yo Yo Honey Singh",Party
Radhe Radhe,"Meet Bros., Amit Gupta",Party
JINDGI KARI MARI RAMAR BHAMAR,BECHARJI THAKOR,Party
Chalo Pela,Rupal Doshi,Party
Ram Chahe Leela,Bhoomi Trived,Party
Bhai Ni Beni Ladki,Ishita Vishwakarma,Party
Bholenath - A Love Story,Kaka WRLD,Party
Tara Vina Shyam Mane,Kishore Manraja,Party
Leri Lala,Kinjal Dave,Party
Char Bangdi Vali Audi Varraja Ni Gadi,Kinjal Dave,Party
Moj Ma,Kinjal Dave,Party
Chhote Raja,Kinjal Dave,Party
Deewani Mastani ,"Shreya Ghoshal, Altamash Faridi, Farhan Sabri, Ganesh Chandanshive, Mujtaba Aziz Naza, Shadab Faridi",Party
Char Char Bangdi Vali,Kinjal Dave,Party
Sapna Vinani Raat,Aditya Gadhvi,Party
Geli Ambe Maa Ni Aarti,Vishnu Patel,Party
Kamariya,"Lijo George, Dj Chetas, Darshan Raval",Party
Asvaar,"Aishwarya Majmudar, Muralala Marwada",Party
Halaji Tar Hath Vakhanu,"Pamela Jain, Jigardan Gadahvi, Abhita Patel, Aditya Gadhvi",Party
Kaho Poonam Na,Aishwarya Majmudar,Party
Dholida Dhol Re Vagad DJ,Rupal Doshi,Party
Odhani Odhu,"Rupali Doshi, Kishore Manaraja",Party
Bamboo Beats Dandia,Kirti - Girish,Party
Garbo Ghumto Jaaye,"Lina, Meeta, Vinod",Party
Maa Pava Te Gadhathi,Kishore Manraja,Party
Tu to Kali Re Kalyani Maa,Rupal Doshi,Party
Jai Jagdambe Ambe Maa,Kishore Manraja,Party
Oli Rupli Mele,Rupal Doshi,Party
He Mari Mahisagarni - DJ Remix,2a 0u,Party
"Rupal Doshi, Kishore Manraja",ditpud,Party
Dhamal Sanedo,Rajendra Pala,Party
Gori Radha Ne Kado Kaan,Divya Kumar,Sufi
Radha NE Shyam Mali Jashe,Sachin-Jigar,Sufi
Shree Hanuman Chalisa,Hariharan,Sufi
Pankhida Ne Aa Pinjru,Praful Dave,Sufi
Achutam Keshavam,Vikram Hazra,Sufi
Hanuman Chalisa,"Shankar Mahadevan, Pandit Jasraj",Sufi
Gayatri Mantra,Suresh Wadkar,Sufi
Shri Krishna Govind Hare Murari,"Ketan Patwardhan, Ketaki Bhave",Sufi
Jai Ganesh Jai Ganesh Deva Aarti,Anuradha Paudwal,Sufi
Aaj Mara Mandiriya Ma Mhale,Winjit Media Labs,Sufi
Ami Bhareli Najro Rakho,Winjit Media Labs,Sufi
Antar Ma Tame Aavo Prabhu,Winjit Media Labs,Sufi
Baje Taal Manjira,Winjit Media Labs,Sufi
Bhakti Karta Chute Mara Pran,Winjit Media Labs,Sufi
Bhitar No Bheru,Winjit Media Labs,Sufi
Bhutad Bhakti Padarth Moto,Winjit Media Labs,Sufi
Dhuni Re Dhakhavi,Winjit Media Labs,Sufi
Ekla Aavya,Winjit Media Labs,Sufi
Evu Shri Vallabh Prabu Nu Naam,Winjit Media Labs,Sufi
Mandir Meline,Anuradha Paudwal,Sufi
He Ji Harive Nahi,Anuradha Paudwal,Sufi
Sav Re Sonani,Anuradha Paudwal,Sufi
Radhanu Nam,Anuradha Paudwal,Sufi
Anane Bhagyo,Ashit Desai,Sufi
Gori Jano,Ashit Desai,Sufi
Bhuli Jawano,Ashit Desai,Sufi
Tum Hi Ho Mata,Sadhana Sargam,Sufi
Itni Shakti Hamein Dena Data,"Pushpa Paagdharey, Sushma Shresht",Sufi
Mara Ghatma Shrinathji,"Hema Desai, Ashit Desai",Sufi
Hey Govinda Hey Gopala,Jagjit Singh,Sufi
Gopal Maro Paranie Jhule Re,Winjit Media Labs,Sufi
Hari Hadve Hadve Hankaro,Winjit Media Labs,Sufi
Hari Maaru Gaadu Kya lai Jaay,Winjit Media Labs,Sufi
Hari Ne Bhajta,Winjit Media Labs,Sufi
Heji Tara Aanganiya Puchine,Winjit Media Labs,Sufi
Hey Dhyan Dhar hari Tanu,Winjit Media Labs,Sufi
Hey Jal Kamal,Winjit Media Labs,Sufi
Hey Karuna Na Karnara,Winjit Media Labs,Sufi
He Manav Vishvwash Kari Le,Winjit Media Labs,Sufi
Vahal No Dariyo ,antvani Trivedi,Soothing
Unchi Talavdi,"Santvani Trivedi, Aakash Parmar",Soothing
Chaand Ne Kaho,"Various Artists, Jigardan Gadhavi, Sachin Sanghvi, TANISHKAA SANGHVI",Soothing
Satrangi Re,"Arijit Singh, Dawn Cordo",Soothing
Gori Radha Ne Kado Kaan,Kirtidan Gadhvi,Soothing
Radha Rani,Nandlal Chhanga,Soothing
Dhun Laagi,"Siddharth Amit Bhavsar, Malhar Thakar, Maulik Nayak, Aarohi Patel",Soothing
"Mann Melo, Pt. 1","Jasleen Royal, Siddharth Amit Bhavsar",Soothing
Vhalam Aavo Ne,"Jigardan Gadhavi, Malhar Thakar, Maulik Nayak, Aarohi Patel",Soothing
Pa Pa Pagli,"Various Artists, Sonu Nigam",Soothing
Athdaya Karu Chhu,"Punit Gandhi, Smita Jain, Malhar Thakar, Maulik Nayak, Aarohi Patel",Soothing
Afeemi (MTV Unplugged),"Sachin-Jigar, Priya Saraiya, Kausar Munir",Soothing
Aasmani,Yashita Sharma,Soothing
Ghoome Jaaye Re,Siddharth Amit Bhavsar,Soothing
Manzil,"Keerthi Sagathia, Aditya Gadhvi, Siddharth Amit Bhavsar",Soothing
Shaan Bhaan Bhule,"Bhargav Purohit, Kirtidan Gadhvi, Shraddha Hattangady Mehta",Soothing
Bore Thai Gayo,"Arpit G, Bhoomi Trivedi, MGD, Mc Classic, HRB",Soothing
Odhni odu,"Vikas Ambore, Aishwarya Majmudar",Soothing
Rasta Khovaaya,Siddharth Amit Bhavsar,Soothing
Navu Aa Sapnu,"Soham Naik, Yashita Sharma",Soothing
Nazam Navi,Jigardan Gadhavi,Soothing
Dhunki,"Siddharth Amit Bhavsar, Yashika Sikka",Soothing
Pankhi Re,"Aditya Gadhvi, Siddharth Amit Bhavsar, Yashita Sharma",Soothing
Roopa Ni Zanzari,Santvani Trivedi,Soothing
Va Vaya and Vadaldi Varsi,Santvani Trivedi,Soothing
Saibo,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Soothing
Ranglo,Dhaval Kothari,Soothing
Moti Veraana ,"Amit Trivedi, Osman Mir",Soothing
Tu Ne Hoon,Darshan Raval,Soothing
Amdavad Re,Vishal Dadlani,Soothing
Haiyaa,Shruti Pathak,Soothing
Preet,"Priya Saraiya, Divya Kumar",Soothing
Nayan Ne Bandh Rakhine,Sachin Sanghvi,Soothing
Bhuli Javu Che,Sachin Sanghvi,Soothing
Ramvane Raas Tame Aavo,Osman Mir,Soothing
Dhime Dhime Mara Sapnama,Parth Doshi,Soothing
Aasmani,Parthiv Gohil,Soothing
Bhaibandho Bhare Bhayankar,Bhaumik Shah,Soothing
Maru Man Mohi Gayu,Santvani Trivedi,Soothing
"Mann Melo, Pt. 2","Jasleen Royal, Siddharth Amit Bhavsar",Soothing
Radha Ne Shyam 2.0,"Sachin-Jigar, Sachin Sanghvi",Soothing
Kaho Poonam Na,"Dhaval Kothari, Simran Choudhary",Soothing
Luv Ni Love Storys,"Aditya Gadhvi, Siddharth Amit Bhavsar, Yashika Sikka",Soothing
Radha Rani,Nandlal Chhanga,Soothing
Ghoome Jaaye Re - Reprise,Yashika Sikka,Soothing
Va Vaya and Vadaldi Varsi,Santvani Trivedi,Soothing
"Mann Melo, Pt. 1","Jasleen Royal, Siddharth Amit Bhavsar",Soothing
Vahal No Dariyo (Gujarati Song),Santvani Trivedi,Soothing
Vhalam Aavo Ne,"Jigardan Gadhavi, Malhar Thakar, Maulik Nayak, Aarohi Patel",Soothing
Unchi Talavdi,"Santvani Trivedi, Aakash Parmar",Soothing
Dhun Laagi,"Siddharth Amit Bhavsar, Malhar Thakar, Maulik Nayak, Aarohi Pate",Soothing
Dil Che Maru Ramakadu Nathi,Kajal Maheriya,Romantic
Ja Re Ja Bewafa,Kajal Maheriya,Romantic
Tame Bov Jabara,Kajal Maheriya,Romantic
Chahu Chhu Tane,"Vikram Thakor, Jalpa Dave",Romantic
Jani Lejo Re,Jigardan Gadhavi,Romantic
Nokho Anokho,"Parthiv Gohil, Jonita Gandhi",Romantic
"Kahi De, Bas Kahi De",Keval Shah,Romantic
Dard - Female Version,Kajal Maheriya,Romantic
Tu Mari Pehli Aarzoo,Jigardan Gadhavi,Romantic
Mann Lagtu Nathi,"Dhruvin, Heena",Romantic
Pehla Varsad,Darshan Raval,Romantic
Taar Jhankar,"Bhumik Shah, Mirande Shah",Romantic
Mahuva,"Rutvij Pandya, Yashita Sharma",Romantic
Pehlo Prem,Roshan Rathore,Romantic
Atiyovadi Patiyovadi,Jignesh Kaviraj,Romantic
Mari Janudi Ne Hachvi Ne Rakhje,Jignesh Kaviraj,Romantic
Prem Ek Vem Chhe,Jignesh Kaviraj,Romantic
Mali Nazar Jo Nazron Thi,Jigardan Gadhavi,Romantic
Pehla Varsad,Darshan Raval,Romantic
Chand Jevo Chehro,"Parth Oza, Jigardan Gadhavi, Jalpa Dave, Nikita Shah, Mayuri Desai, Bela Patel",Romantic
Tu Ne Hoon,Darshan Raval,Romantic
Pehla Varsad (Sad Version),Darshan Raval,Romantic
Love Song,Mirande Shah,Romantic
Priye Tamaro Prem No,Javed Ali,Romantic
Maahi,Shreya Ghoshal,Romantic
Ishq Rang,"Sonu Nigam, Aishwarya Majmudar",Romantic
Pehli Vakhat,Parth Gohil,Romantic
Khwahish (Female Version),Aishwarya Majmudar,Romantic
Sonano Ghadulo,Lalitya Munshaw,Romantic
Haiyathi Haiyu Male,"Shaan, Pragya Patra",Romantic
Rom Com,"Neeti Mohan, Rashid Ali",Romantic
Ishq Rang Reprised,Sonu Nigam,Romantic
Khwahish,"Parthiv Gohil, Aishwarya Majmudar",Romantic
Radha Radha Kahun Tamne,Parthiv Gohil,Romantic
De Taali,"Parthiv Gohil, Mirande Shah",Romantic
Tu Mari Pehli Aarzoo,Jigardan Gadhavi,Romantic
Preet Kari Me,Alka Yagnik,Romantic
Be Mine,Neeraj Shreedhar,Romantic
Mari Life Tari,"Alka Yagnik, Devrath Sharma",Romantic
Ishg No Rang,"Aishwarya Majmudar, Parth Oza",Romantic
Saathi,Aishwarya Majmudar,Romantic
Kem Kari Ne,Vivian Richard,Romantic
Nokho Anokho,Parthiv Gohil,Romantic
Thayu Chhe Shu Aa?,Parth oza,Romantic
Enu Kaaran Shu?,"Mangesh Dhakde, Shrinidhi Ghatate",Romantic
Naam Taru,Parth Gohil,Romantic
Saathi Reprise,Raja Hasan,Romantic
Gulabi,"Hardik Dave, Ishani Dave",Romantic
Jani Lejo Re,Jigardan Gadhavi,Romantic
Mari Life Tari,"Alka Yagnik, Devrath Sharma",Romantic
Ishq No Rang,Aishwarya Majmudar,Romantic
Bhinjaaun,Jonita Gandhi,Romantic
Vaat Evi Koi,Divya Kumar,Romantic
Kem Kari Ne,Vivian Richard,Romantic
Ishq No Rang - Unplugged,Alisha Prajapati,Romantic
Kem Kari Ne - Female,Alka Yagnik,Romantic
Saath Madyo Chhe,"Sahil Shivram, Pamela Jain",Romantic
Ek Mulakat ,Rakesh Barot,Romantic
Madhosh,Rakesh Barot,Romantic